"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM, GBIF",9945082,NA,NA,4652687,NA,NA,NA,NA,"Syringophilopsis dendroicae B GSS, 2010",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Syringophilidae",NA,"Syringophilopsis",NA,"dendroicae",NA,"species",NA,"B GSS, 2010",NA,NA,"accepted",NA,NA,"Syringophilopsis dendroicae"
"UMZM, GBIF",10451902,NA,NA,9173706,NA,NA,NA,NA,"Trouessartia niltavae Canestrini, 1899",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Trouessartiidae",NA,"Trouessartia",NA,"niltavae",NA,"species",NA,"Canestrini, 1899",NA,NA,"doubtful",NA,"Possible variant of Trouessartia niltavae Constantinescu, 2018","Trouessartia niltavae"
"UMZM, GBIF",9256943,NA,NA,9173706,NA,NA,NA,NA,"Trouessartia alcippeae Canestrini & Kramer, 1899",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Trouessartiidae",NA,"Trouessartia",NA,"alcippeae",NA,"species",NA,"Canestrini & Kramer, 1899",NA,NA,"doubtful",NA,"Possible variant of Trouessartia alcippeae Constantinescu, 2016","Trouessartia alcippeae"
"UMZM, GBIF",10276041,NA,NA,6922713,NA,NA,NA,NA,"Neharpyrhynchus chlorospingus Fain, 1972",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Harpirhynchidae",NA,"Neharpyrhynchus",NA,"chlorospingus",NA,"species",NA,"Fain, 1972",NA,NA,"doubtful",NA,"Possible variant of Neharpyrhynchus chlorospingus Bochkov & Literák, 2011","Neharpyrhynchus chlorospingus"
"UMZM, GBIF",10652549,NA,NA,6922713,NA,NA,NA,NA,"Neharpyrhynchus tangara Fain, 1972",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Harpirhynchidae",NA,"Neharpyrhynchus",NA,"tangara",NA,"species",NA,"Fain, 1972",NA,NA,"doubtful",NA,"Possible variant of Neharpyrhynchus tangara Bochkov & Literák, 2011","Neharpyrhynchus tangara"
"UMZM, GBIF",10407241,NA,NA,6922713,NA,NA,NA,NA,"Neharpyrhynchus mironovi Fain, 1972",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Harpirhynchidae",NA,"Neharpyrhynchus",NA,"mironovi",NA,"species",NA,"Fain, 1972",NA,NA,"doubtful",NA,"Possible variant of Neharpyrhynchus mironovi Bochkov & Literák, 2011","Neharpyrhynchus mironovi"
"UMZM, GBIF",7964745,NA,NA,9453028,NA,NA,NA,NA,"Demodex ovis A.S.Hirst, 1919",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Demodicidae",NA,"Demodex",NA,"ovis",NA,"species",NA,"A.S.Hirst, 1919",NA,NA,"accepted",NA,NA,"Demodex ovis"
"UMZM, GBIF",8339835,NA,NA,9453028,NA,NA,NA,NA,"Demodex cati Megnin, 1877",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Demodicidae",NA,"Demodex",NA,"cati",NA,"species",NA,"Megnin, 1877",NA,NA,"doubtful",NA,"Possible variant of Demodex cati Hirst, 1919","Demodex cati"
"UMZM, GBIF",9395631,NA,NA,9390530,NA,NA,NA,NA,"Cheyletiella parasitivorax Smiley, 1965",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Cheyletidae",NA,"Cheyletiella",NA,"parasitivorax",NA,"species",NA,"Smiley, 1965",NA,NA,"doubtful",NA,"Possible variant of Cheyletiella parasitivorax Mégnin, 1878","Cheyletiella parasitivorax"
"UMZM, GBIF",9660512,NA,NA,2181899,NA,NA,NA,NA,"Sarcoptes scabiei (Linnaeus, 1758)",NA,NA,NA,NA,"Checklist of Norwegian ticks and mites (Acari). Fauna norv. Ser. B 26:31-45",NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Sarcoptidae",NA,"Sarcoptes",NA,"scabiei",NA,"species",NA,"(Linnaeus, 1758)",NA,NA,"accepted",NA,NA,"Sarcoptes scabiei"
"UMZM, GBIF",11061261,NA,NA,4653064,NA,NA,NA,NA,"Neottialges vulturis Dubinin, 1956",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Hypoderatidae",NA,"Neottialges",NA,"vulturis",NA,"species",NA,"Dubinin, 1956",NA,NA,"doubtful",NA,"Possible variant of Neottialges vulturis Sergey Mironov, 2018","Neottialges vulturis"
"UMZM, GBIF",7575379,NA,4547735,4405309,NA,NA,NA,NA,"Proctophyllodes macedo Vassilev, 1960","Proctophyllodes vitzthumi",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Proctophyllodidae",NA,"Proctophyllodes",NA,"macedo",NA,"species",NA,"Vassilev, 1960",NA,NA,"heterotypic synonym",NA,NA,"Proctophyllodes macedo"
"UMZM, GBIF",9800598,NA,10520655,2181884,NA,NA,NA,NA,"Psoroptes ovis (Hering, 1838)","Psoroptes equi",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Psoroptidae",NA,"Psoroptes",NA,"ovis",NA,"species",NA,"(Hering, 1838)",NA,NA,"synonym",NA,NA,"Psoroptes ovis"
